               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.042055,            0.019562,           0.0071414,             0.87332,             0.48257,             0.58747,             0.34094,            0.045038,           0.0078952,            0.017335,            0.002476,            0.002476,            0.002476
                  78,            0.042143,            0.019793,           0.0070321,               0.864,             0.50372,             0.59431,              0.3398,            0.044128,           0.0082278,            0.016597,            0.002377,            0.002377,            0.002377
                  79,            0.043499,            0.020763,           0.0068965,             0.81137,             0.51689,             0.55099,             0.30679,            0.046739,            0.007929,            0.017018,            0.002278,            0.002278,            0.002278
                  80,            0.043457,            0.019951,           0.0085534,             0.90513,             0.49893,             0.55615,             0.32419,            0.044021,           0.0076564,            0.017766,            0.002179,            0.002179,            0.002179
                  81,            0.042704,            0.020194,            0.008104,             0.85668,             0.49215,             0.54338,             0.31972,            0.044481,           0.0079306,            0.016462,             0.00208,             0.00208,             0.00208
                  82,            0.040027,            0.018794,           0.0078961,             0.86513,             0.49421,             0.54804,              0.3169,            0.043926,           0.0078892,            0.016549,            0.001981,            0.001981,            0.001981
                  83,             0.04233,            0.020353,           0.0075984,             0.86567,             0.47455,             0.58091,             0.35088,            0.043317,           0.0080571,            0.016658,            0.001882,            0.001882,            0.001882
                  84,            0.041412,            0.019104,           0.0071896,             0.89004,             0.50129,             0.55091,             0.30863,             0.04398,           0.0077681,             0.01449,            0.001783,            0.001783,            0.001783
                  85,            0.040502,            0.019446,           0.0061725,             0.88128,             0.48012,             0.61686,             0.37617,            0.044364,            0.007606,            0.016781,            0.001684,            0.001684,            0.001684
                  86,            0.042247,            0.019822,           0.0075236,             0.88018,             0.50161,             0.62267,             0.35849,            0.044934,           0.0077014,             0.01731,            0.001585,            0.001585,            0.001585
                  87,            0.040971,            0.019944,           0.0081932,             0.85446,             0.51719,             0.62959,              0.3557,            0.044823,           0.0075987,            0.016748,            0.001486,            0.001486,            0.001486
                  88,            0.039381,            0.019182,           0.0058403,              0.8626,             0.48362,             0.51666,             0.28393,            0.044875,           0.0077192,            0.014754,            0.001387,            0.001387,            0.001387
                  89,             0.04121,            0.019918,           0.0073619,              0.8666,             0.54223,             0.56004,              0.3099,            0.043838,           0.0077679,             0.01406,            0.001288,            0.001288,            0.001288
                  90,            0.040096,             0.01905,           0.0064554,             0.87509,             0.52738,             0.56848,             0.31845,            0.043119,           0.0076398,            0.014019,            0.001189,            0.001189,            0.001189
                  91,            0.038353,            0.019718,           0.0058859,              0.8791,             0.51404,             0.57249,             0.32518,            0.043344,           0.0075191,            0.014592,             0.00109,             0.00109,             0.00109
                  92,             0.04073,            0.018326,           0.0079562,              0.8716,             0.51263,             0.54255,             0.30625,            0.044494,           0.0076527,            0.014538,            0.000991,            0.000991,            0.000991
                  93,            0.039464,            0.018456,           0.0069149,             0.88029,             0.51302,             0.54346,             0.30208,            0.043239,           0.0075417,            0.014973,            0.000892,            0.000892,            0.000892
                  94,            0.038575,            0.018497,           0.0075813,             0.89254,             0.51159,             0.56677,             0.31871,            0.041899,           0.0072959,            0.016488,            0.000793,            0.000793,            0.000793
                  95,            0.040729,            0.019995,           0.0066763,              0.8962,             0.49672,             0.58231,             0.33691,            0.041568,           0.0073573,            0.016262,            0.000694,            0.000694,            0.000694
                  96,            0.037909,            0.018677,           0.0046595,             0.92765,             0.48643,             0.57364,             0.33039,            0.041606,           0.0073598,            0.015837,            0.000595,            0.000595,            0.000595
                  97,            0.040744,            0.019195,           0.0060828,             0.89971,             0.50989,             0.58498,             0.33773,            0.041946,           0.0072636,             0.01601,            0.000496,            0.000496,            0.000496
                  98,            0.039552,            0.018302,           0.0068136,             0.89113,             0.52176,             0.56654,              0.3223,            0.041873,           0.0072654,            0.015916,            0.000397,            0.000397,            0.000397
                  99,            0.038888,            0.018812,           0.0076292,             0.88963,             0.52973,             0.57187,             0.32726,            0.041879,           0.0072345,            0.015731,            0.000298,            0.000298,            0.000298
